"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1*","16-Sep-22","11-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,5.8,79,79,"5.2",NA,NA,"5.2","A058"
"2","2*","01-Sep-22","28-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,6.1,79,79,"5.2T",NA,NA,"5.2T","A058"
"3","3*","30-Aug-22","20-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,6.1,79,79,"5.2",NA,NA,"5.2","A058"
"4","4","16-Aug-22","14-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,5.8,83,83,"8.6",NA,NA,"8.6","A058"
"5","5*","16-Aug-22","13-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,5.8,82,81,"6.9",NA,NA,"6.9","A058"
"6","6","12-Aug-22","07-Aug-22","LODHI COURSE MEN NEW - BLUE",72.1,122,5.5,82,82,"9.2",NA,NA,"9.2","A058"
"7","7*","12-Aug-22","31-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,5.7,78,78,"5.5",NA,NA,"5.5","A058"
"8","8","31-Jul-22","30-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,5.7,81,81,"8.2",NA,NA,"8.2","A058"
"9","9","27-Jul-22","24-Jul-22","LODHI COURSE MENS NEW - BLACK",73.5,130,5.7,88,88,"12.6T",NA,NA,"12.6T","A058"
"10","10","28-Jul-22","23-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,5.7,85,83,"10.1",NA,NA,"10.1","A058"
"11","11*","20-Jul-22","17-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,5.8,78,78,"5.5",NA,NA,"5.5","A058"
"12","12*","13-Jul-22","02-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,5.8,80,80,"7.3",NA,NA,"7.3","A058"
"13","13","30-Jun-22","25-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,5.8,84,82,"9.2T",NA,NA,"9.2T","A058"
"14","14*","30-Jun-22","19-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,6.1,77,77,"4.5",NA,NA,"4.5","A058"
"15","15","30-Jun-22","18-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,6.1,82,82,"9.2",NA,NA,"9.2","A058"
"16","16","16-Jun-22","12-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,6.1,86,83,"10.1",NA,NA,"10.1","A058"
"17","17*","10-Jun-22","05-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,6.3,78,78,"5.5",NA,NA,"5.5","A058"
"18","18","31-May-22","28-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,6.3,86,81,"8.2T",NA,NA,"8.2T","A058"
"19","19*","23-May-22","22-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,6.6,78,78,"5.5",NA,NA,"5.5","A058"
"20","20","23-May-22","21-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,6.4,80,80,"7.3",NA,NA,"7.3","A058"
