"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","17-Jan-22","06-Jan-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.5,85,85,11.9,NA,NA,11.9,"B454"
"2","2*","31-Jan-22","05-Jan-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.5,83,83,10.1,NA,NA,10.1,"B454"
"3","3","06-Jan-22","29-Dec-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.4,85,85,11.9,NA,NA,11.9,"B454"
"4","4*","06-Jan-22","26-Dec-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.4,81,81,8.2,NA,NA,8.2,"B454"
"5","5*","06-Jan-22","26-Dec-21","LODHI COURSE MEN NEW - BLUE",72.1,122,7.9,84,84,11,NA,NA,11,"B454"
"6","6","04-Oct-21","09-Sep-21","GOLF  CTRY CLUB DE BOSSEY - Yellow",71,113,7.6,84,84,13,NA,NA,13,"B454"
"7","7","04-Oct-21","08-Sep-21","GOLF  CTRY CLUB DE BOSSEY - Yellow",71,113,7.2,84,84,13,NA,NA,13,"B454"
"8","8","04-Oct-21","07-Sep-21","GOLF  CTRY CLUB DE BOSSEY - Yellow",71,113,6.8,83,83,12,NA,NA,12,"B454"
"9","9*","06-Jan-22","06-Sep-21","GOLF  CTRY CLUB DE BOSSEY - Yellow",71,113,6.7,82,82,11,NA,NA,11,"B454"
"10","10","04-Oct-21","05-Sep-21","GOLF  CTRY CLUB DE BOSSEY - Yellow",71,113,6.7,83,83,12,NA,NA,12,"B454"
"11","11*","04-Oct-21","08-Aug-21","WORCESTER COUNTRY CLUB - RED",72.8,134,6.8,82,82,7.8,NA,NA,7.8,"B454"
"12","12","04-Oct-21","08-Aug-21","GOLF  CTRY CLUB DE BOSSEY - Yellow",71,113,6.8,82,82,11,NA,NA,11,"B454"
"13","13*","04-Oct-21","17-Jul-21","WORCESTER COUNTRY CLUB - RED",72.8,134,6.9,81,81,6.9,NA,NA,6.9,"B454"
"14","14*","04-Oct-21","16-Jul-21","WORCESTER COUNTRY CLUB - RED",72.8,134,7.1,80,80,6.1,NA,NA,6.1,"B454"
"15","15*","04-Oct-21","10-Jul-21","WORCESTER COUNTRY CLUB - RED",72.8,134,7.3,82,82,7.8,NA,NA,7.8,"B454"
"16","16*","04-Oct-21","09-Jul-21","WORCESTER COUNTRY CLUB - RED",72.8,134,7.3,81,81,6.9,NA,NA,6.9,"B454"
"17","17","24-Aug-21","03-Jun-21","GOLF  CTRY CLUB DE BOSSEY - Yellow",71,113,7.2,82,82,11,NA,NA,11,"B454"
"18","18*","24-Aug-21","02-Jun-21","GOLF  CTRY CLUB DE BOSSEY - Yellow",71,113,7.2,81,81,10,NA,NA,10,"B454"
"19","19","24-Aug-21","01-Jun-21","GOLF  CTRY CLUB DE BOSSEY - Yellow",71,113,7,85,85,14,NA,NA,14,"B454"
"20","20","24-Aug-21","30-May-21","GOLF  CTRY CLUB DE BOSSEY - Yellow",71,113,7,85,85,14,NA,NA,14,"B454"
