"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1*","30-Nov-16","21-Sep-16","BLACKHORSE GOLF CLUB - Blue",72,128,"8.0",87,87,13.2,NA,NA,13.2,"C308D"
"2","2","29-Nov-16","04-Sep-16","MEMORIAL PARK GOLF COURSE - Blue",75,130,"8.0",96,95,17.4,NA,NA,17.4,"C308D"
"3","3","30-Nov-16","03-Jun-16","MEMORIAL PARK GOLF COURSE - Blue",75,130,"6.5",97,94,16.5,NA,NA,16.5,"C308D"
"4","4","30-Nov-16","28-May-16","BLACKHORSE GOLF CLUB - Blue",72,128,"6.5",97,93,18.5,NA,NA,18.5,"C308D"
"5","5","30-Nov-16","24-May-16","MEMORIAL PARK GOLF COURSE - Blue",75,130,"2.6",93,93,15.6,NA,NA,15.6,"C308D"
"6","6","30-Nov-16","15-Mar-16","Cypress Lakes Golf Club - Black",70.2,115,"2.6",98,92,21.4,NA,NA,21.4,"C308D"
"7","7*","30-Nov-16","14-Mar-16","MEMORIAL PARK GOLF COURSE - Blue",75,130,"N/A",78,78,2.6,NA,NA,2.6,"C308D"
"8","8*","30-Nov-16","28-Feb-16","MEMORIAL PARK GOLF COURSE - Blue",75,130,"N/A",87,87,10.4,NA,NA,10.4,"C308D"
"9","9*","29-Nov-16","19-Sep-15","PALM AIRE COUNTRY CLUB - Standard",68.3,120,"N/A",80,80,11,NA,NA,11,"C308D"
"10","10","29-Nov-16","11-Jul-15","MEMORIAL PARK GOLF COURSE - Blue",75,130,"N/A",99,99,20.9,NA,NA,20.9,"C308D"
"11","11","29-Nov-16","08-May-15","BLACKHORSE GOLF CLUB - Blue",72,128,"N/A",98,98,23,NA,NA,23,"C308D"
