"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","24-Dec-21","15-Dec-21","LODHI COURSE MEN NEW - WHITE",70.6,122,8.5,101,101,"28.2",NA,NA,"28.2","C367"
"2","2*","30-May-21","10-Apr-21","Delhi Golf Course Mens-12 - Blue",72.1,127,8.8,81,81,"7.9T",NA,NA,"7.9T","C367"
"3","3*","15-Apr-18","12-Apr-18","Delhi Golf Course Mens-12 - Blue",72.1,127,9,83,83,"9.7",NA,NA,"9.7","C367"
"4","4","17-Feb-18","14-Feb-18","Delhi Golf Course Mens-12 - Blue",72.1,127,9,110,109,"32.8",NA,NA,"32.8","C367"
"5","5*","19-Aug-17","13-Aug-17","Delhi Golf Course Mens-12 - Blue",72.1,127,9.4,83,83,"9.7",NA,NA,"9.7","C367"
"6","6*","09-Aug-17","05-Aug-17","Delhi Golf Course Mens-12 - Blue",72.1,127,9.9,82,82,"8.8",NA,NA,"8.8","C367"
"7","7","18-Jul-17","16-Jul-17","Delhi Golf Course Mens-12 - Blue",72.1,127,9.9,90,90,"15.9",NA,NA,"15.9","C367"
"8","8","21-Jun-17","18-Jun-17","Delhi Golf Course Mens-12 - Blue",72.1,127,11,84,84,"10.6",NA,NA,"10.6","C367"
"9","9*","05-Jun-17","04-Jun-17","Delhi Golf Course Mens-12 - Blue",72.1,127,11,82,82,"8.8",NA,NA,"8.8","C367"
"10","10*","29-May-17","28-May-17","Delhi Golf Course Mens-12 - Blue",72.1,127,12.3,80,80,"7.0",NA,NA,"7.0","C367"
"11","11","30-May-17","26-May-17","Delhi Golf Course Mens-12 - Blue",72.1,127,11.5,102,102,"26.6",NA,NA,"26.6","C367"
"12","12","30-May-17","25-May-17","Delhi Golf Course Mens-12 - Blue",72.1,127,10.7,96,96,"21.3",NA,NA,"21.3","C367"
"13","13","30-May-17","24-May-17","Delhi Golf Course Mens-12 - Blue",72.1,127,10.3,101,101,"25.7",NA,NA,"25.7","C367"
"14","14*","17-May-17","14-May-17","Delhi Golf Course Mens-12 - Blue",72.1,127,10.6,81,81,"7.9",NA,NA,"7.9","C367"
"15","15","13-May-17","10-May-17","Delhi Golf Course Mens-12 - Blue",72.1,127,10.3,88,88,"14.1",NA,NA,"14.1","C367"
"16","16","17-May-17","07-May-17","Delhi Golf Course Mens-12 - Blue",72.1,127,9.8,87,87,"13.3",NA,NA,"13.3","C367"
"17","17*","02-May-17","31-Mar-17","NOIDA COLF COURSE - BLUE",72.8,131,10.7,82,82,"7.9",NA,NA,"7.9","C367"
"18","18*","31-Mar-17","26-Mar-17","CLASSIC GOLF   CNTRY CLUB - Blue",71,132,10.7,83,83,"10.3",NA,NA,"10.3","C367"
"19","19*","31-Mar-17","22-Mar-17","Delhi Golf Course Mens-12 - Blue",72.1,127,13.2,81,81,"7.9",NA,NA,"7.9","C367"
"20","20","22-Mar-17","21-Mar-17","Delhi Golf Course Mens-12 - Blue",72.1,127,11.5,97,97,"22.2",NA,NA,"22.2","C367"
