"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","26-Sep-22","25-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,17.2,97,97,"20.5",NA,NA,"20.5","CPA106"
"2","2","23-Sep-22","18-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,16.3,96,96,"19.6",NA,NA,"19.6","CPA106"
"3","3*","28-Jul-22","24-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,16.1,93,93,"19.4",NA,NA,"19.4","CPA106"
"4","4","30-Jun-22","19-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,15.6,95,95,"21.2",NA,NA,"21.2","CPA106"
"5","5","25-Apr-22","17-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,15.3,97,97,"23.1",NA,NA,"23.1","CPA106"
"6","6","11-Mar-22","06-Mar-22","LODHI COURSE MEN NEW - BLUE",72.1,122,15.3,95,95,"21.2",NA,NA,"21.2","CPA106"
"7","7*","09-Mar-22","01-Mar-22","LODHI COURSE MEN NEW - BLUE",72.1,122,15.1,86,86,"12.9",NA,NA,"12.9","CPA106"
"8","8","14-Feb-22","13-Feb-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14.8,95,95,"21.2",NA,NA,"21.2","CPA106"
"9","9","31-Jan-22","30-Jan-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14.4,95,95,"21.2",NA,NA,"21.2","CPA106"
"10","10*","09-Dec-21","05-Dec-21","LODHI COURSE MEN NEW - BLUE",72.1,122,14.4,92,92,"18.4",NA,NA,"18.4","CPA106"
"11","11","13-Oct-21","03-Oct-21","LODHI COURSE MEN NEW - BLUE",72.1,122,14.1,95,95,"21.2",NA,NA,"21.2","CPA106"
"12","12*","12-Oct-21","02-Oct-21","LODHI COURSE MEN NEW - BLUE",72.1,122,14.1,91,91,"17.5",NA,NA,"17.5","CPA106"
"13","13","14-May-20","08-Mar-20","LODHI COURSE MEN NEW - BLUE",72.1,122,13.8,99,98,"24.0",NA,NA,"24.0","CPA106"
"14","14*","19-Feb-20","09-Feb-20","LODHI COURSE MEN NEW - BLUE",72.1,122,13.7,90,90,"16.6",NA,NA,"16.6","CPA106"
"15","15*","14-Feb-20","02-Feb-20","LODHI COURSE MEN NEW - BLUE",72.1,122,13.7,92,92,"18.4",NA,NA,"18.4","CPA106"
"16","16*","19-Jan-19","19-Jan-19","Delhi Golf Course Mens-12 - Blue",72.1,127,13.7,90,90,"15.9T",NA,NA,"15.9T","CPA106"
"17","17*","02-Feb-19","13-Jan-19","Delhi Golf Course Mens-12 - Blue",72.1,127,13.7,92,92,"17.7",NA,NA,"17.7","CPA106"
"18","18*","19-Dec-18","08-Dec-18","Delhi Golf Course Mens-12 - Blue",72.1,127,13.7,92,92,"17.7",NA,NA,"17.7","CPA106"
"19","19","28-Sep-18","19-Sep-18","Delhi Golf Course Mens-12 - Blue",72.1,127,13.5,96,96,"21.3",NA,NA,"21.3","CPA106"
"20","20*","10-Sep-18","09-Sep-18","Delhi Golf Course Mens-12 - Blue",72.1,127,13.2,93,93,"18.6",NA,NA,"18.6","CPA106"
