"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","14-Sep-22","11-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,11,100,92,"16.2T",NA,NA,"16.2T","CPB161"
"2","2","27-Jul-22","24-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,10.9,100,92,"18.4T",NA,NA,"18.4T","CPB161"
"3","3","01-Jul-22","26-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,10.9,103,95,"21.2T",NA,NA,"21.2T","CPB161"
"4","4*","30-May-22","28-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,11.3,82,82,"9.2",NA,NA,"9.2","CPB161"
"5","5","22-Apr-22","22-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,11.3,100,92,"18.4T",NA,NA,"18.4T","CPB161"
"6","6","03-Oct-21","25-Sep-21","LODHI COURSE MEN NEW - BLUE",72.1,122,11.3,123,105,"30.5T",NA,NA,"30.5T","CPB161"
"7","7*","10-Sep-21","04-Sep-21","LODHI COURSE MEN NEW - BLUE",72.1,122,11.7,82,82,"9.2",NA,NA,"9.2","CPB161"
"8","8","29-Jul-21","25-Jul-21","LODHI COURSE MEN NEW - BLUE",72.1,122,11.7,127,109,"34.2T",NA,NA,"34.2T","CPB161"
"9","9","10-Mar-21","28-Feb-21","LODHI COURSE MEN NEW - BLUE",72.1,122,11.7,97,89,"15.7T",NA,NA,"15.7T","CPB161"
"10","10*","17-Feb-21","13-Feb-21","LODHI COURSE MEN NEW - BLUE",72.1,122,11.9,85,85,"11.9",NA,NA,"11.9","CPB161"
"11","11","28-Nov-20","21-Nov-20","LODHI COURSE MEN NEW - BLUE",72.1,122,11.7,101,93,"19.4T",NA,NA,"19.4T","CPB161"
"12","12","18-Sep-20","12-Sep-20","LODHI COURSE MEN NEW - BLUE",72.1,122,11.5,100,92,"18.4T",NA,NA,"18.4T","CPB161"
"13","13","20-Aug-20","08-Aug-20","LODHI COURSE MEN NEW - BLUE",72.1,122,11.3,122,104,"29.5T",NA,NA,"29.5T","CPB161"
"14","14*","24-Jun-20","13-Jun-20","LODHI COURSE MEN NEW - BLUE",72.1,122,11.4,84,84,"11.0T",NA,NA,"11.0T","CPB161"
"15","15*","14-May-20","14-Mar-20","LODHI COURSE MEN NEW - BLUE",72.1,122,11.7,84,84,"11.0T",NA,NA,"11.0T","CPB161"
"16","16*","02-Dec-19","30-Nov-19","LODHI COURSE MEN NEW - BLUE",72.1,122,11.5,86,86,"12.9T",NA,NA,"12.9T","CPB161"
"17","17*","26-Mar-19","24-Mar-19","Delhi Golf Course Mens-12 - Blue",72.1,127,11.5,88,88,"14.1",NA,NA,"14.1","CPB161"
"18","18*","25-Mar-19","21-Mar-19","Delhi Golf Course Mens-12 - Blue",72.1,127,11.9,83,83,"9.7",NA,NA,"9.7","CPB161"
"19","19*","19-Mar-19","16-Mar-19","Delhi Golf Course Mens-12 - Blue",72.1,127,12.4,85,85,"11.5",NA,NA,"11.5","CPB161"
"20","20*","08-Mar-19","02-Mar-19","Delhi Golf Course Mens-12 - Blue",72.1,127,12.4,86,86,"12.4",NA,NA,"12.4","CPB161"
