"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","21-Sep-22","16-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,14.9,108,104,"26.4T",NA,NA,"26.4T","D224"
"2","2","23-Sep-21","15-Sep-21","LODHI COURSE MEN NEW - BLUE",72.1,122,14.9,128,110,"35.1T",NA,NA,"35.1T","D224"
"3","3","14-May-20","14-Mar-20","LODHI COURSE MEN NEW - BLUE",72.1,122,14.2,100,100,"25.8T",NA,NA,"25.8T","D224"
"4","4*","01-Dec-19","29-Nov-19","LODHI COURSE MEN NEW - BLUE",72.1,122,13.7,93,93,"19.4T",NA,NA,"19.4T","D224"
"5","5*","05-Feb-19","24-Jan-19","Delhi Golf Course Mens-12 - Blue",72.1,127,13.5,94,94,"19.5",NA,NA,"19.5","D224"
"6","6*","12-Nov-18","11-Nov-18","Delhi Golf Course Mens-12 - Blue",72.1,127,13.5,89,89,"15.0",NA,NA,"15.0","D224"
"7","7","25-Sep-18","22-Sep-18","Delhi Golf Course Mens-12 - Blue",72.1,127,13.5,125,106,"30.2T",NA,NA,"30.2T","D224"
"8","8*","04-Aug-18","02-Aug-18","Delhi Golf Course Mens-12 - Blue",72.1,127,13.5,94,94,"19.5",NA,NA,"19.5","D224"
"9","9","06-Jul-18","06-Jul-18","Delhi Golf Course Mens-12 - White",70.6,123,13.5,97,97,"24.3",NA,NA,"24.3","D224"
"10","10","02-Jun-18","30-May-18","Delhi Golf Course Mens-12 - White",70.6,123,13.5,100,99,"26.1",NA,NA,"26.1","D224"
"11","11","20-May-18","17-May-18","Delhi Golf Course Mens-12 - White",70.6,123,13.5,93,93,"20.6",NA,NA,"20.6","D224"
"12","12","13-May-18","10-May-18","Delhi Golf Course Mens-12 - Blue",72.1,127,13.5,100,100,"24.8",NA,NA,"24.8","D224"
"13","13","19-May-18","03-May-18","Delhi Golf Course Mens-12 - Blue",72.1,127,13.5,100,99,"23.9T",NA,NA,"23.9T","D224"
"14","14*","18-Feb-18","15-Feb-18","Delhi Golf Course Mens-12 - Blue",72.1,127,13.5,89,89,"15.0",NA,NA,"15.0","D224"
"15","15*","19-Feb-18","09-Feb-18","NOIDA COLF COURSE - BLUE",72.8,131,13.3,88,88,"13.1",NA,NA,"13.1","D224"
"16","16","10-Feb-18","08-Feb-18","Delhi Golf Course Mens-12 - Blue",72.1,127,13.3,95,95,"20.4T",NA,NA,"20.4T","D224"
"17","17*","19-Feb-18","07-Feb-18","NOIDA COLF COURSE - BLUE",72.8,131,13.4,89,89,"14.0",NA,NA,"14.0","D224"
"18","18*","19-Feb-18","06-Feb-18","NOIDA COLF COURSE - BLUE",72.8,131,13.7,87,87,"12.2",NA,NA,"12.2","D224"
"19","19*","19-Feb-18","03-Feb-18","NOIDA COLF COURSE - BLUE",72.8,131,14.1,89,89,"14.0",NA,NA,"14.0","D224"
"20","20*","19-Feb-18","02-Feb-18","NOIDA COLF COURSE - BLUE",72.8,131,14.5,89,89,"14.0",NA,NA,"14.0","D224"
