"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","26-May-15","26-May-15","Delhi Golf Course Mens-12 - Blue",72.1,113,"25.9",106,106,"33.9",NA,NA,"33.9","G176D"
"2","2","26-May-15","22-May-15","Delhi Golf Course Mens-12 - Blue",72.1,113,"25.9",103,103,"30.9",NA,NA,"30.9","G176D"
"3","3","21-May-15","21-May-15","Delhi Golf Course Mens-12 - Blue",72.1,113,"25.9",102,102,"29.9",NA,NA,"29.9","G176D"
"4","4*","21-May-15","20-May-15","Delhi Golf Course Mens-12 - Blue",72.1,113,"25.9",98,98,"25.9",NA,NA,"25.9","G176D"
"5","5*","21-May-15","19-May-15","Delhi Golf Course Mens-12 - Blue",72.1,113,"25.9",98,98,"25.9",NA,NA,"25.9","G176D"
"6","6*","30-May-15","15-May-15","Delhi Golf Course Mens-12 - Blue",72.1,113,"N/A",98,98,"25.9T",NA,NA,"25.9T","G176D"
"7","7","19-May-15","14-May-15","Delhi Golf Course Mens-12 - Blue",72.1,113,"N/A",99,99,"26.9",NA,NA,"26.9","G176D"
"8","8","19-May-15","08-May-15","Delhi Golf Course Mens-12 - Blue",72.1,113,"N/A",105,105,"32.9",NA,NA,"32.9","G176D"
"9","9","19-May-15","24-Apr-15","Delhi Golf Course Mens-12 - Blue",72.1,113,"N/A",105,105,"32.9",NA,NA,"32.9","G176D"
"10","10","19-May-15","21-Apr-15","Delhi Golf Course Mens-12 - Blue",72.1,113,"N/A",113,113,"40.9",NA,NA,"40.9","G176D"
