"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1*","12-Sep-12","12-Sep-12","Delhi Golf Course Mens-12 - Blue",72.1,127,"13.8",86,86,"12.4",NA,NA,"12.4","G276"
"2","2*","19-Nov-11","19-Nov-11","GOLDEN GREEN GOLF CLUB - BLUE",72,113,"13.8",86,86,"14.0",NA,NA,"14.0","G276"
"3","3*","17-Nov-11","04-Sep-11","GOLDEN GREEN GOLF CLUB - BLUE",72,113,"13.8",88,88,"16.0",NA,NA,"16.0","G276"
"4","4*","17-Nov-11","21-Aug-11","GOLDEN GREEN GOLF CLUB - BLUE",72,113,"14.1",84,84,"12.0",NA,NA,"12.0","G276"
"5","5*","17-Nov-11","07-Aug-11","GOLDEN GREEN GOLF CLUB - BLUE",72,113,"14.1",88,88,"16.0",NA,NA,"16.0","G276"
"6","6*","31-Jul-11","31-Jul-11","Delhi Golf Course Mens-12 - Blue",72.1,127,"15.0",84,84,"10.6",NA,NA,"10.6","G276"
"7","7","17-Nov-11","17-Jul-11","GOLDEN GREEN GOLF CLUB - BLUE",72,113,"15.0",90,90,"18.0",NA,NA,"18.0","G276"
"8","8","17-Nov-11","10-Jul-11","GOLDEN GREEN GOLF CLUB - BLUE",72,113,"14.7",88,88,"16.0",NA,NA,"16.0","G276"
"9","9","17-Nov-11","26-Jun-11","GOLDEN GREEN GOLF CLUB - BLUE",72,113,"14.7",89,89,"17.0",NA,NA,"17.0","G276"
"10","10","17-Nov-11","19-Jun-11","GOLDEN GREEN GOLF CLUB - BLUE",72,113,"14.1",88,88,"16.0",NA,NA,"16.0","G276"
"11","11","18-Jun-11","18-Jun-11","Delhi Golf Course Mens-12 - Blue",72.1,127,"14.1",101,101,"25.7T",NA,NA,"25.7T","G276"
"12","12","18-Jun-11","15-Jun-11","Delhi Golf Course Mens-12 - Blue",72.1,127,"13.3",99,99,"23.9",NA,NA,"23.9","G276"
"13","13","17-Nov-11","12-Jun-11","GOLDEN GREEN GOLF CLUB - BLUE",72,113,"13.3",91,91,"19.0",NA,NA,"19.0","G276"
"14","14","18-Jun-11","12-Jun-11","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",99,99,"23.9",NA,NA,"23.9","G276"
"15","15","17-Nov-11","05-Jun-11","GOLDEN GREEN GOLF CLUB - BLUE",72,113,"N/A",88,88,"16.0",NA,NA,"16.0","G276"
"16","16","18-Jun-11","01-May-11","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",100,100,"24.8",NA,NA,"24.8","G276"
"17","17*","14-Feb-11","12-Feb-11","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",89,89,"15.0",NA,NA,"15.0","G276"
"18","18*","11-Feb-11","10-Feb-11","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",87,87,"13.3",NA,NA,"13.3","G276"
