"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1*","26-Sep-22","25-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,13,89,89,13.7,NA,NA,13.7,"H074"
"2","2*","23-Sep-22","17-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,13.3,88,88,12.8,NA,NA,12.8,"H074"
"3","3","16-Sep-22","11-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,13.3,92,92,16.2,NA,NA,16.2,"H074"
"4","4","16-Sep-22","10-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,13.3,92,92,16.2,NA,NA,16.2,"H074"
"5","5*","08-Sep-22","07-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,14.2,82,82,7.7,NA,NA,7.7,"H074"
"6","6*","07-Sep-22","03-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,14.7,87,87,12,NA,NA,12,"H074"
"7","7*","01-Sep-22","28-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,14.9,90,90,14.5,NA,NA,14.5,"H074"
"8","8*","01-Sep-22","27-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,14.9,89,89,13.7,NA,NA,13.7,"H074"
"9","9","06-Aug-22","03-Aug-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14.6,98,98,24,NA,NA,24,"H074"
"10","10*","31-Jul-22","31-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14.8,88,88,14.7,NA,NA,14.7,"H074"
"11","11*","14-Jul-22","03-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,15.1,87,87,13.8,NA,NA,13.8,"H074"
"12","12*","14-Jul-22","03-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14.7,87,87,13.8,NA,NA,13.8,"H074"
"13","13","13-Jul-22","02-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14.9,89,89,15.7,NA,NA,15.7,"H074"
"14","14","30-Jun-22","28-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14.9,94,94,20.3,NA,NA,20.3,"H074"
"15","15","30-Jun-22","19-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14.9,91,91,17.5,NA,NA,17.5,"H074"
"16","16","30-Jun-22","18-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14.8,90,90,16.6,NA,NA,16.6,"H074"
"17","17","16-Jun-22","12-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,15.1,88,88,14.7,NA,NA,14.7,"H074"
"18","18","16-Jun-22","11-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14.9,90,90,16.6,NA,NA,16.6,"H074"
"19","19","10-Jun-22","05-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,15,91,91,17.5,NA,NA,17.5,"H074"
"20","20*","10-Jun-22","03-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,15.2,86,86,12.9,NA,NA,12.9,"H074"
