"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","23-Sep-22","17-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,11.9,96,96,"19.6",NA,NA,"19.6","J142"
"2","2","14-Sep-22","11-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,11.3,129,111,"32.4T",NA,NA,"32.4T","J142"
"3","3*","31-Jul-22","31-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,11.3,88,88,"14.7",NA,NA,"14.7","J142"
"4","4","26-Jul-22","23-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,11.3,96,96,"22.1T",NA,NA,"22.1T","J142"
"5","5","20-Jul-22","17-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,11.3,94,94,"20.3",NA,NA,"20.3","J142"
"6","6","19-Jul-22","16-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,11.3,93,93,"19.4",NA,NA,"19.4","J142"
"7","7","16-Jul-22","10-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,10.9,97,97,"23.1",NA,NA,"23.1","J142"
"8","8*","16-Jul-22","09-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,11,83,83,"10.1",NA,NA,"10.1","J142"
"9","9*","14-Jul-22","03-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,11.6,79,79,"6.4",NA,NA,"6.4","J142"
"10","10","31-May-22","28-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,11.4,105,97,"23.1T",NA,NA,"23.1T","J142"
"11","11","22-May-22","15-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,11.4,92,92,"18.4",NA,NA,"18.4","J142"
"12","12*","19-May-22","07-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,11.3,89,89,"15.7",NA,NA,"15.7","J142"
"13","13*","18-May-22","03-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,11.5,84,84,"11.0",NA,NA,"11.0","J142"
"14","14*","18-May-22","01-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,11.6,85,85,"11.9",NA,NA,"11.9","J142"
"15","15*","01-May-22","30-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,11.6,88,88,"14.7",NA,NA,"14.7","J142"
"16","16*","27-Apr-22","22-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,12.1,83,83,"10.1",NA,NA,"10.1","J142"
"17","17","22-Apr-22","16-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,12.1,105,97,"23.1T",NA,NA,"23.1T","J142"
"18","18*","25-Apr-22","14-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,12,86,86,"12.9",NA,NA,"12.9","J142"
"19","19*","09-Apr-22","01-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,11.8,85,85,"11.9",NA,NA,"11.9","J142"
"20","20","02-Apr-22","28-Mar-22","LODHI COURSE MEN NEW - BLUE",72.1,122,11.8,126,108,"33.3T",NA,NA,"33.3T","J142"
