"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1*","30-Sep-22","27-Sep-22","LODHI COURSE MEN NEW - WHITE",71.4,129,12.9,86,86,"12.8",NA,NA,"12.8","K536"
"2","2*","26-Sep-22","20-Sep-22","LODHI COURSE MEN NEW - WHITE",71.4,129,12.7,90,89,"15.4",NA,NA,"15.4","K536"
"3","3","20-Sep-22","16-Sep-22","LODHI COURSE MEN NEW - WHITE",71.4,129,12.7,124,106,"30.3T",NA,NA,"30.3T","K536"
"4","4*","16-Sep-22","13-Sep-22","LODHI COURSE MEN NEW - WHITE",71.4,129,13.3,84,84,"11.0",NA,NA,"11.0","K536"
"5","5*","15-Sep-22","10-Sep-22","LODHI COURSE MEN NEW - WHITE",71.4,129,13.9,84,84,"11.0T",NA,NA,"11.0T","K536"
"6","6","07-Sep-22","03-Sep-22","LODHI COURSE MEN NEW - WHITE",71.4,129,13.2,93,93,"18.9",NA,NA,"18.9","K536"
"7","7*","01-Sep-22","28-Aug-22","LODHI COURSE MEN NEW - WHITE",71.4,129,13.8,80,80,"7.5T",NA,NA,"7.5T","K536"
"8","8","12-Aug-22","06-Aug-22","LODHI COURSE MEN NEW - WHITE",70.6,122,13.4,92,92,"19.8",NA,NA,"19.8","K536"
"9","9","30-Jul-22","28-Jul-22","LODHI COURSE MEN NEW - WHITE",70.6,122,13.3,93,93,"20.7",NA,NA,"20.7","K536"
"10","10","27-Jul-22","22-Jul-22","LODHI COURSE MEN NEW - WHITE",70.6,122,13.3,92,92,"19.8T",NA,NA,"19.8T","K536"
"11","11*","20-Jul-22","19-Jul-22","LODHI COURSE MEN NEW - WHITE",70.6,122,12.9,87,87,"15.2",NA,NA,"15.2","K536"
"12","12","19-Jul-22","16-Jul-22","LODHI COURSE MEN NEW - WHITE",70.6,122,12.9,96,96,"23.5",NA,NA,"23.5","K536"
"13","13","19-Jul-22","14-Jul-22","LODHI COURSE MEN NEW - WHITE",70.6,122,12.9,93,93,"20.7",NA,NA,"20.7","K536"
"14","14","19-Jul-22","12-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,12.9,90,90,"16.6",NA,NA,"16.6","K536"
"15","15*","16-Jul-22","09-Jul-22","LODHI COURSE MEN NEW - WHITE",70.6,122,12.8,87,87,"15.2",NA,NA,"15.2","K536"
"16","16*","16-Jul-22","07-Jul-22","LODHI COURSE MEN NEW - WHITE",70.6,122,12.9,84,84,"12.4",NA,NA,"12.4","K536"
"17","17*","15-Jul-22","05-Jul-22","LODHI COURSE MEN NEW - WHITE",70.6,122,12.9,87,87,"15.2",NA,NA,"15.2","K536"
"18","18","14-Jul-22","03-Jul-22","LODHI COURSE MEN NEW - WHITE",70.6,122,12.9,89,89,"17.0",NA,NA,"17.0","K536"
"19","19*","13-Jul-22","02-Jul-22","LODHI COURSE MEN NEW - WHITE",70.6,122,12.9,86,86,"14.3",NA,NA,"14.3","K536"
"20","20","30-Jun-22","28-Jun-22","LODHI COURSE MEN NEW - WHITE",70.6,122,12.9,93,93,"20.7",NA,NA,"20.7","K536"
