"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1*","31-Jul-22","31-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,10.1,82,82,"9.2",NA,NA,"9.2","K550S"
"2","2*","28-Jul-22","24-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,10.4,82,82,"9.2",NA,NA,"9.2","K550S"
"3","3","31-May-22","29-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,10.2,162,126,"49.9T",NA,NA,"49.9T","K550S"
"4","4*","31-May-22","28-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,9.8,85,85,"11.9T",NA,NA,"11.9T","K550S"
"5","5*","04-Jun-22","15-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,9.7,82,82,"9.2",NA,NA,"9.2","K550S"
"6","6*","18-May-22","01-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,9.5,82,82,"9.2",NA,NA,"9.2","K550S"
"7","7","09-Apr-22","02-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,9.4,85,85,"11.9",NA,NA,"11.9","K550S"
"8","8","06-Jan-22","26-Dec-21","LODHI COURSE MEN NEW - BLUE",72.1,122,9.4,85,85,"11.9",NA,NA,"11.9","K550S"
"9","9","14-Dec-21","12-Dec-21","LODHI COURSE MEN NEW - BLUE",72.1,122,9.1,88,88,"14.7",NA,NA,"14.7","K550S"
"10","10","29-Nov-21","28-Nov-21","LODHI COURSE MEN NEW - BLUE",72.1,122,9,87,87,"13.8",NA,NA,"13.8","K550S"
"11","11*","29-Nov-21","27-Nov-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.5,82,82,"9.2",NA,NA,"9.2","K550S"
"12","12","23-Nov-21","20-Nov-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.4,85,85,"11.9",NA,NA,"11.9","K550S"
"13","13*","23-Nov-21","19-Nov-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.4,84,84,"11.0",NA,NA,"11.0","K550S"
"14","14","10-Nov-21","05-Nov-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.4,86,86,"12.9",NA,NA,"12.9","K550S"
"15","15","09-Nov-21","04-Nov-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.4,87,87,"13.8",NA,NA,"13.8","K550S"
"16","16","03-Oct-21","26-Sep-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.4,86,86,"12.9T",NA,NA,"12.9T","K550S"
"17","17*","24-Sep-21","19-Sep-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.3,84,84,"11.0",NA,NA,"11.0","K550S"
"18","18*","24-Sep-21","18-Sep-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.1,83,83,"10.1",NA,NA,"10.1","K550S"
"19","19","19-Mar-21","14-Mar-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.1,85,85,"11.9",NA,NA,"11.9","K550S"
"20","20*","22-Sep-20","19-Sep-20","LODHI COURSE MEN NEW - BLUE",72.1,122,8.1,82,82,"9.2",NA,NA,"9.2","K550S"
