"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1*","12-Aug-22","06-Aug-22","LODHI COURSE MENS NEW - BLACK",73.5,130,4.8,83,82,"7.4",NA,NA,"7.4","L085"
"2","2*","31-Jul-22","30-Jul-22","LODHI COURSE MENS NEW - BLACK",73.5,130,4.8,82,81,"6.5",NA,NA,"6.5","L085"
"3","3","27-Jul-22","23-Jul-22","LODHI COURSE MENS NEW - BLACK",73.5,130,4.8,83,82,"7.4T",NA,NA,"7.4T","L085"
"4","4*","16-Jul-22","09-Jul-22","LODHI COURSE MENS NEW - BLACK",73.5,130,4.9,81,81,"6.5",NA,NA,"6.5","L085"
"5","5*","27-Apr-22","23-Apr-22","LODHI COURSE MENS NEW - BLACK",73.5,130,4.7,81,81,"6.5",NA,NA,"6.5","L085"
"6","6*","22-Apr-22","16-Apr-22","LODHI COURSE MENS NEW - BLACK",73.5,130,5.4,74,74,"0.4T",NA,NA,"0.4T","L085"
"7","7*","13-Apr-22","09-Apr-22","LODHI COURSE MENS NEW - BLACK",73.5,130,5.5,82,80,"5.7",NA,NA,"5.7","L085"
"8","8","27-Feb-22","26-Feb-22","LODHI COURSE MENS NEW - BLACK",73.5,130,4.9,88,87,"11.7",NA,NA,"11.7","L085"
"9","9","25-Feb-22","20-Feb-22","LODHI COURSE MENS NEW - BLACK",73.5,130,4.8,82,82,"7.4T",NA,NA,"7.4T","L085"
"10","10*","25-Feb-22","19-Feb-22","LODHI COURSE MENS NEW - BLACK",73.5,130,4.8,80,80,"5.7T",NA,NA,"5.7T","L085"
"11","11*","25-Feb-22","18-Feb-22","LODHI COURSE MENS NEW - BLACK",73.5,130,4.7,80,79,"4.8T",NA,NA,"4.8T","L085"
"12","12","10-Feb-22","06-Feb-22","LODHI COURSE MEN NEW - BLUE",72.1,122,4.7,95,90,"16.6",NA,NA,"16.6","L085"
"13","13*","10-Feb-22","03-Feb-22","LODHI COURSE MENS NEW - BLACK",73.5,130,4.8,79,79,"4.8",NA,NA,"4.8","L085"
"14","14","05-Jan-22","25-Dec-21","LODHI COURSE MENS NEW - BLACK",73.5,130,4.6,90,90,"14.3",NA,NA,"14.3","L085"
"15","15*","09-Dec-21","04-Dec-21","LODHI COURSE MENS NEW - BLACK",73.5,130,4.6,75,75,"1.3",NA,NA,"1.3","L085"
"16","16","29-Nov-21","27-Nov-21","LODHI COURSE MENS NEW - BLACK",73.5,130,4.5,83,83,"8.3",NA,NA,"8.3","L085"
"17","17","23-Nov-21","20-Nov-21","LODHI COURSE MENS NEW - BLACK",73.5,130,4.5,84,84,"9.1",NA,NA,"9.1","L085"
"18","18","16-Nov-21","13-Nov-21","LODHI COURSE MENS NEW - BLACK",73.5,130,4.3,84,84,"9.1",NA,NA,"9.1","L085"
"19","19","12-Nov-21","07-Nov-21","LODHI COURSE MENS NEW - BLACK",73.5,130,3.9,82,82,"7.4",NA,NA,"7.4","L085"
"20","20","03-Nov-21","28-Oct-21","LODHI COURSE MENS NEW - BLACK",73.5,130,3.9,82,82,"7.4T",NA,NA,"7.4T","L085"
