"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1*","30-Sep-22","27-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,13.3,85,85,"10.3",NA,NA,"10.3","L120S"
"2","2","26-Sep-22","24-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,12.9,92,92,"16.2",NA,NA,"16.2","L120S"
"3","3*","23-Sep-22","17-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,13,90,90,"14.5",NA,NA,"14.5","L120S"
"4","4*","07-Sep-22","03-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,13.3,87,87,"12.0",NA,NA,"12.0","L120S"
"5","5","01-Sep-22","28-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,13.2,97,97,"20.5",NA,NA,"20.5","L120S"
"6","6","01-Sep-22","27-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,13,97,97,"20.5T",NA,NA,"20.5T","L120S"
"7","7*","30-Aug-22","20-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,12.9,89,89,"13.7",NA,NA,"13.7","L120S"
"8","8*","16-Aug-22","15-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,13.2,88,88,"12.8",NA,NA,"12.8","L120S"
"9","9","13-Aug-22","13-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,13.2,91,91,"15.4",NA,NA,"15.4","L120S"
"10","10*","12-Aug-22","06-Aug-22","LODHI COURSE MEN NEW - BLUE",72.1,122,13.3,88,88,"14.7",NA,NA,"14.7","L120S"
"11","11*","12-Aug-22","16-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,13.6,87,87,"13.8",NA,NA,"13.8","L120S"
"12","12*","19-Jul-22","15-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14,86,86,"12.9",NA,NA,"12.9","L120S"
"13","13","12-Aug-22","09-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14,91,91,"17.5",NA,NA,"17.5","L120S"
"14","14","13-Jul-22","02-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14,92,92,"18.4",NA,NA,"18.4","L120S"
"15","15*","01-Jul-22","25-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14.4,87,87,"13.8T",NA,NA,"13.8T","L120S"
"16","16","18-Jun-22","18-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14.4,96,96,"22.1",NA,NA,"22.1","L120S"
"17","17","10-Jun-22","05-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14.4,91,91,"17.5",NA,NA,"17.5","L120S"
"18","18","10-Jun-22","04-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14.7,89,89,"15.7",NA,NA,"15.7","L120S"
"19","19*","31-May-22","28-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,15.3,83,83,"10.1T",NA,NA,"10.1T","L120S"
"20","20","30-May-22","28-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,15.6,89,89,"15.7",NA,NA,"15.7","L120S"
