"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","18-Mar-19","07-Mar-19","Delhi Golf Course Mens-12 - White",70.6,123,16.3,93,93,"20.6",NA,NA,"20.6","M222"
"2","2","19-Mar-17","18-Mar-17","Delhi Golf Course Mens-12 - Blue",72.1,127,16.3,95,95,"20.4",NA,NA,"20.4","M222"
"3","3*","18-Dec-15","18-Dec-15","Delhi Golf Course Mens-12 - Blue",72.1,127,16.4,91,91,"16.8",NA,NA,"16.8","M222"
"4","4*","24-Mar-14","14-Mar-14","Delhi Golf Course Mens-12 - Blue",72.1,127,16.3,91,91,"16.8",NA,NA,"16.8","M222"
"5","5","07-Sep-13","07-Sep-13","Delhi Golf Course Mens-12 - Blue",72.1,127,15.9,99,99,"23.9T",NA,NA,"23.9T","M222"
"6","6","03-Feb-13","03-Feb-13","Delhi Golf Course Mens-12 - Blue",72.1,127,15.8,98,98,"23.0T",NA,NA,"23.0T","M222"
"7","7*","10-Nov-12","10-Nov-12","Delhi Golf Course Mens-12 - Blue",72.1,127,15.7,92,92,"17.7",NA,NA,"17.7","M222"
"8","8*","18-Feb-12","18-Feb-12","Delhi Golf Course Mens-12 - Blue",72.1,127,15.7,94,94,"19.5",NA,NA,"19.5","M222"
"9","9","15-Feb-12","15-Feb-12","Delhi Golf Course Mens-12 - Blue",72.1,127,15.5,95,95,"20.4",NA,NA,"20.4","M222"
"10","10*","04-Mar-11","04-Mar-11","Delhi Golf Course Mens-12 - Blue",72.1,127,15.9,88,88,"14.1",NA,NA,"14.1","M222"
"11","11*","27-Mar-10","04-Mar-10","Delhi Golf Course Mens-12 - Blue",72.1,127,16.2,88,88,"14.1",NA,NA,"14.1","M222"
"12","12*","27-Mar-10","03-Mar-10","Delhi Golf Course Mens-12 - Blue",72.1,127,16.1,94,94,"19.5",NA,NA,"19.5","M222"
"13","13","28-Mar-10","27-Feb-10","Delhi Golf Course Mens-12 - Blue",72.1,127,15.8,95,95,"20.4",NA,NA,"20.4","M222"
"14","14*","24-Feb-10","20-Feb-10","Delhi Golf Course Mens-12 - Blue",72.1,127,14.5,91,91,"16.8",NA,NA,"16.8","M222"
"15","15*","23-Feb-10","19-Feb-10","Delhi Golf Course Mens-12 - Blue",72.1,127,14.7,88,88,"14.1",NA,NA,"14.1","M222"
"16","16","23-Feb-10","18-Feb-10","Delhi Golf Course Mens-12 - Blue",72.1,127,14.1,95,95,"20.4",NA,NA,"20.4","M222"
"17","17","23-Feb-10","17-Feb-10","Delhi Golf Course Mens-12 - Blue",72.1,127,13.7,94,94,"19.5",NA,NA,"19.5","M222"
"18","18*","17-Mar-09","08-Mar-09","Delhi  Golf Club  - Blue",72.1,127,13.6,89,89,"15.0",NA,NA,"15.0","M222"
"19","19","17-Mar-09","07-Mar-09","Delhi  Golf Club  - Blue",72.1,127,13.5,94,94,"19.5",NA,NA,"19.5","M222"
"20","20","13-Mar-09","03-Mar-09","Delhi  Golf Club  - Blue",72.1,127,13.5,95,95,"20.4",NA,NA,"20.4","M222"
