"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","16-Aug-22","13-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,14.5,92,92,"16.2",NA,NA,"16.2","M586S"
"2","2","30-Jun-22","26-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14.3,91,91,"17.5",NA,NA,"17.5","M586S"
"3","3*","01-Jul-22","25-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14.1,89,89,"15.7T",NA,NA,"15.7T","M586S"
"4","4","30-Jun-22","24-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,13.8,93,93,"19.4",NA,NA,"19.4","M586S"
"5","5*","30-Jun-22","19-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14,87,87,"13.8",NA,NA,"13.8","M586S"
"6","6","30-Jun-22","18-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,13.7,92,92,"18.4",NA,NA,"18.4","M586S"
"7","7","16-Jun-22","12-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,13.5,91,91,"17.5",NA,NA,"17.5","M586S"
"8","8","16-Jun-22","11-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,13.5,95,95,"21.2",NA,NA,"21.2","M586S"
"9","9*","10-Jun-22","05-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,13.5,89,89,"15.7",NA,NA,"15.7","M586S"
"10","10*","10-Jun-22","04-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,12.8,89,89,"15.7",NA,NA,"15.7","M586S"
"11","11","25-Apr-22","17-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,12.8,93,93,"19.4",NA,NA,"19.4","M586S"
"12","12","22-Apr-22","16-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,12.8,92,92,"18.4T",NA,NA,"18.4T","M586S"
"13","13","13-Apr-22","10-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,12.8,90,90,"16.6",NA,NA,"16.6","M586S"
"14","14*","09-Apr-22","03-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,12.8,88,88,"14.7",NA,NA,"14.7","M586S"
"15","15*","18-Jan-22","11-Jan-22","LODHI COURSE MEN NEW - BLUE",72.1,122,12.8,88,88,"14.7",NA,NA,"14.7","M586S"
"16","16*","14-Jan-22","07-Jan-22","LODHI COURSE MEN NEW - BLUE",72.1,122,13.2,85,85,"11.9",NA,NA,"11.9","M586S"
"17","17*","17-Jan-22","06-Jan-22","LODHI COURSE MEN NEW - BLUE",72.1,122,13,89,89,"15.7",NA,NA,"15.7","M586S"
"18","18","14-Jan-22","02-Jan-22","LODHI COURSE MEN NEW - BLUE",72.1,122,13,92,92,"18.4",NA,NA,"18.4","M586S"
"19","19*","14-Jan-22","02-Jan-22","LODHI COURSE MEN NEW - BLUE",72.1,122,13.2,87,87,"13.8T",NA,NA,"13.8T","M586S"
"20","20*","21-Dec-21","18-Dec-21","LODHI COURSE MEN NEW - BLUE",72.1,122,13.4,87,87,"13.8",NA,NA,"13.8","M586S"
