"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1*","20-Feb-18","17-Feb-18","Delhi Golf Course Mens-12 - Blue",72.1,127,19.5,97,97,"22.2",NA,NA,"22.2","N025"
"2","2","22-Mar-15","21-Mar-15","Delhi Golf Course Mens-12 - Blue",72.1,127,19.5,102,102,"26.6",NA,NA,"26.6","N025"
"3","3","10-Mar-15","06-Mar-15","Delhi Golf Course Mens-12 - Blue",72.1,127,19.5,100,100,"24.8",NA,NA,"24.8","N025"
"4","4*","08-Feb-15","07-Feb-15","Delhi Golf Course Mens-12 - Blue",72.1,127,19.5,97,97,"22.2",NA,NA,"22.2","N025"
"5","5","30-Mar-14","30-Mar-14","Delhi Golf Course Mens-12 - Blue",72.1,127,19.5,102,102,"26.6",NA,NA,"26.6","N025"
"6","6","18-Mar-14","18-Mar-14","Delhi Golf Course Mens-12 - Blue",72.1,127,19.5,100,100,"24.8",NA,NA,"24.8","N025"
"7","7*","16-Mar-14","16-Mar-14","Delhi Golf Course Mens-12 - Blue",72.1,127,19.4,95,95,"20.4",NA,NA,"20.4","N025"
"8","8","05-Jan-14","05-Jan-14","Delhi Golf Course Mens-12 - Blue",72.1,127,19.3,97,97,"22.2",NA,NA,"22.2","N025"
"9","9*","01-Dec-13","01-Dec-13","Delhi Golf Course Mens-12 - Blue",72.1,127,19.3,96,96,"21.3",NA,NA,"21.3","N025"
"10","10","27-Apr-13","27-Apr-13","Delhi Golf Course Mens-12 - Blue",72.1,127,18.7,100,100,"24.8T",NA,NA,"24.8T","N025"
"11","11","20-Apr-13","20-Apr-13","Delhi Golf Course Mens-12 - Blue",72.1,127,18.3,98,98,"23.0",NA,NA,"23.0","N025"
"12","12","11-Jan-13","11-Jan-13","Delhi Golf Course Mens-12 - Blue",72.1,127,18.3,99,99,"23.9T",NA,NA,"23.9T","N025"
"13","13","29-Dec-12","29-Dec-12","Delhi Golf Course Mens-12 - Blue",72.1,127,18,98,98,"23.0T",NA,NA,"23.0T","N025"
"14","14*","01-Dec-12","01-Dec-12","Delhi Golf Course Mens-12 - Blue",72.1,127,17.4,92,92,"17.7T",NA,NA,"17.7T","N025"
"15","15*","24-Mar-12","24-Mar-12","Delhi Golf Course Mens-12 - Blue",72.1,127,17.3,93,93,"18.6",NA,NA,"18.6","N025"
"16","16*","02-Jan-12","31-Dec-11","Delhi Golf Course Mens-12 - Blue",72.1,127,17.8,91,91,"16.8",NA,NA,"16.8","N025"
"17","17*","02-Jan-12","28-Dec-11","Delhi Golf Course Mens-12 - Blue",72.1,127,18.1,92,92,"17.7",NA,NA,"17.7","N025"
"18","18*","07-Dec-11","07-Dec-11","Delhi Golf Course Mens-12 - Blue",72.1,127,17.7,94,94,"19.5",NA,NA,"19.5","N025"
"19","19","10-Apr-11","10-Apr-11","Delhi Golf Course Mens-12 - Blue",72.1,127,17.6,104,104,"28.4T",NA,NA,"28.4T","N025"
"20","20*","14-Feb-11","13-Feb-11","Delhi Golf Course Mens-12 - Blue",72.1,127,16.7,94,94,"19.5",NA,NA,"19.5","N025"
