"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","21-Sep-22","15-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,12.7,124,106,"28.1T",NA,NA,"28.1T","P202"
"2","2*","31-Aug-22","21-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,12.8,89,89,"13.7",NA,NA,"13.7","P202"
"3","3*","02-Oct-21","21-Sep-21","LODHI COURSE MEN NEW - WHITE",70.6,122,13.1,83,83,"11.5",NA,NA,"11.5","P202"
"4","4","16-Jul-21","16-Jul-21","LODHI COURSE MEN NEW - BLUE",72.1,122,13.1,96,96,"22.1",NA,NA,"22.1","P202"
"5","5*","14-Jul-21","11-Jul-21","LODHI COURSE MEN NEW - BLUE",72.1,122,13.4,85,85,"11.9",NA,NA,"11.9","P202"
"6","6","08-Feb-21","31-Jan-21","LODHI COURSE MEN NEW - BLUE",72.1,122,13.4,89,89,"15.7",NA,NA,"15.7","P202"
"7","7","18-Jan-21","17-Jan-21","LODHI COURSE MEN NEW - BLUE",72.1,122,13.4,89,89,"15.7",NA,NA,"15.7","P202"
"8","8","11-Jan-21","08-Jan-21","LODHI COURSE MEN NEW - BLUE",72.1,122,13.4,95,95,"21.2",NA,NA,"21.2","P202"
"9","9","12-Dec-20","09-Dec-20","LODHI COURSE MEN NEW - BLUE",72.1,122,13.4,92,92,"18.4",NA,NA,"18.4","P202"
"10","10","28-Nov-20","22-Nov-20","LODHI COURSE MEN NEW - BLUE",72.1,122,13.4,90,90,"16.6",NA,NA,"16.6","P202"
"11","11*","14-Oct-20","13-Oct-20","LODHI COURSE MEN NEW - BLUE",72.1,122,13.5,86,86,"12.9",NA,NA,"12.9","P202"
"12","12*","07-Oct-20","02-Oct-20","LODHI COURSE MEN NEW - BLUE",72.1,122,13.8,85,85,"11.9",NA,NA,"11.9","P202"
"13","13*","14-Oct-20","27-Sep-20","LODHI COURSE MEN NEW - BLUE",72.1,122,13.9,87,87,"13.8",NA,NA,"13.8","P202"
"14","14","23-Sep-20","23-Sep-20","LODHI COURSE MEN NEW - BLUE",72.1,122,13.9,88,88,"14.7",NA,NA,"14.7","P202"
"15","15*","14-Oct-20","13-Sep-20","LODHI COURSE MEN NEW - BLUE",72.1,122,14.3,85,85,"11.9",NA,NA,"11.9","P202"
"16","16*","14-Oct-20","11-Sep-20","LODHI COURSE MEN NEW - BLUE",72.1,122,14.4,87,87,"13.8",NA,NA,"13.8","P202"
"17","17*","14-Oct-20","08-Aug-20","LODHI COURSE MEN NEW - BLUE",72.1,122,14.7,85,85,"11.9",NA,NA,"11.9","P202"
"18","18","14-Oct-20","02-Aug-20","LODHI COURSE MEN NEW - BLUE",72.1,122,14.7,88,88,"14.7",NA,NA,"14.7","P202"
"19","19","14-Oct-20","01-Aug-20","LODHI COURSE MEN NEW - BLUE",72.1,122,14.7,88,88,"14.7",NA,NA,"14.7","P202"
"20","20*","14-Oct-20","18-Jul-20","LODHI COURSE MEN NEW - BLUE",72.1,122,15,87,87,"13.8",NA,NA,"13.8","P202"
