"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","19-Jul-20","15-Jul-20","LODHI COURSE MEN NEW - BLUE",72.1,122,1.7,78,78,"5.5",NA,NA,"5.5","R203"
"2","2*","27-Oct-18","11-Oct-18","Delhi Golf Course Mens-12 - Blue",72.1,127,1.8,76,76,"3.5",NA,NA,"3.5","R203"
"3","3*","12-Oct-18","10-Oct-18","Delhi Golf Course Mens-12 - Blue",72.1,127,1.8,76,76,"3.5",NA,NA,"3.5","R203"
"4","4*","05-Oct-18","29-Sep-18","Delhi Golf Course Mens-12 - Blue",72.1,127,1.8,77,77,"4.4",NA,NA,"4.4","R203"
"5","5","05-Oct-18","23-Sep-18","Delhi Golf Course Mens-12 - Blue",72.1,127,1.8,77,77,"4.4",NA,NA,"4.4","R203"
"6","6","14-Mar-18","08-Mar-18","Delhi Golf Course Mens-12 - Blue",72.1,127,1.8,77,77,"4.4",NA,NA,"4.4","R203"
"7","7*","14-Mar-17","08-Mar-17","Delhi Golf Course Mens-12 - Blue",72.1,127,1.8,76,76,"3.5",NA,NA,"3.5","R203"
"8","8*","19-Nov-16","18-Nov-16","Delhi Golf Course Mens-12 - Blue",72.1,127,1.8,76,76,"3.5",NA,NA,"3.5","R203"
"9","9*","30-Sep-16","28-Sep-16","Delhi Golf Course Mens-12 - Blue",72.1,127,1.6,76,76,"3.5",NA,NA,"3.5","R203"
"10","10*","26-Sep-16","19-Sep-16","Delhi Golf Course Mens-12 - Blue",72.1,127,2.5,67,67,"-4.5",NA,NA,"-4.5","R203"
"11","11*","29-Aug-16","21-Aug-16","Delhi Golf Course Mens-12 - Blue",72.1,127,3.1,69,69,"-2.8",NA,NA,"-2.8","R203"
"12","12","11-Apr-13","11-Apr-13","Delhi Golf Course Mens-12 - Blue",72.1,127,2.9,77,77,"4.4",NA,NA,"4.4","R203"
"13","13","29-Mar-13","28-Mar-13","Delhi Golf Course Mens-12 - Blue",72.1,127,2.8,77,77,"4.4",NA,NA,"4.4","R203"
"14","14","26-Mar-13","26-Mar-13","Delhi Golf Course Mens-12 - Blue",72.1,127,2.8,80,80,"7.0",NA,NA,"7.0","R203"
"15","15","24-Mar-13","22-Mar-13","Delhi Golf Course Mens-12 - Blue",72.1,127,2.8,78,78,"5.2T",NA,NA,"5.2T","R203"
"16","16","20-Mar-13","20-Mar-13","Delhi Golf Course Mens-12 - Blue",72.1,127,2.8,79,79,"6.1",NA,NA,"6.1","R203"
"17","17","15-Mar-13","15-Mar-13","Delhi Golf Course Mens-12 - Blue",72.1,127,2.8,77,77,"4.4",NA,NA,"4.4","R203"
"18","18*","14-Mar-13","14-Mar-13","Delhi Golf Course Mens-12 - Blue",72.1,127,3,75,75,"2.6",NA,NA,"2.6","R203"
"19","19","13-Mar-13","13-Mar-13","Delhi Golf Course Mens-12 - Blue",72.1,127,3,77,77,"4.4",NA,NA,"4.4","R203"
"20","20*","12-Mar-13","12-Mar-13","Delhi Golf Course Mens-12 - Blue",72.1,127,3.1,76,76,"3.5",NA,NA,"3.5","R203"
