"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","11-Jan-13","11-Jan-13","Delhi Golf Course Mens-12 - Blue",72.1,127,16.1,100,99,"23.9T",NA,NA,"23.9T","S279S"
"2","2*","11-Mar-12","11-Mar-12","Delhi Golf Course Mens-12 - Blue",72.1,127,16.3,89,89,"15.0",NA,NA,"15.0","S279S"
"3","3*","10-Mar-12","10-Mar-12","Delhi Golf Course Mens-12 - Blue",72.1,127,16.4,90,90,"15.9",NA,NA,"15.9","S279S"
"4","4*","15-Nov-10","10-Nov-10","Delhi Golf Course Mens-12 - Blue",72.1,127,16.6,90,90,"15.9",NA,NA,"15.9","S279S"
"5","5","23-Apr-10","21-Apr-10","Delhi Golf Course Mens-12 - Blue",72.1,127,16.6,94,94,"19.5",NA,NA,"19.5","S279S"
"6","6*","12-Apr-10","07-Apr-10","Delhi Golf Course Mens-12 - Blue",72.1,127,16.4,91,91,"16.8",NA,NA,"16.8","S279S"
"7","7*","29-Mar-10","28-Mar-10","Delhi Golf Course Mens-12 - Blue",72.1,127,16.5,91,91,"16.8",NA,NA,"16.8","S279S"
"8","8*","09-Feb-10","06-Feb-10","Delhi Golf Course Mens-12 - Blue",72.1,127,16.3,92,91,"16.8",NA,NA,"16.8","S279S"
"9","9","08-Feb-10","03-Feb-10","Delhi Golf Course Mens-12 - Blue",72.1,127,16.3,93,93,"18.6",NA,NA,"18.6","S279S"
"10","10*","31-Jan-10","29-Jan-10","Delhi Golf Course Mens-12 - Blue",72.1,127,16.4,91,91,"16.8",NA,NA,"16.8","S279S"
"11","11","29-Nov-09","26-Nov-09","Delhi Golf Course Mens-12 - Blue",72.1,127,16.2,94,93,"18.6",NA,NA,"18.6","S279S"
"12","12","29-Sep-09","28-Sep-09","Delhi Golf Course Mens-12 - Blue",72.1,127,16,92,92,"17.7",NA,NA,"17.7","S279S"
"13","13","29-Sep-09","25-Sep-09","Delhi Golf Course Mens-12 - Blue",72.1,127,15.9,97,97,"22.2",NA,NA,"22.2","S279S"
"14","14*","23-Sep-09","21-Sep-09","Delhi Golf Course Mens-12 - Blue",72.1,127,15.9,90,90,"15.9",NA,NA,"15.9","S279S"
"15","15*","14-Sep-09","08-Sep-09","Delhi Golf Course Mens-12 - Blue",72.1,127,15.9,91,90,"15.9",NA,NA,"15.9","S279S"
"16","16","30-Jul-09","29-Jul-09","Delhi  Golf Club  - Blue",72.1,127,15.9,91,91,"16.8",NA,NA,"16.8","S279S"
"17","17","13-Mar-09","05-Mar-09","Delhi  Golf Club  - Blue",72.1,127,15.8,91,91,"16.8",NA,NA,"16.8","S279S"
"18","18","17-Feb-09","14-Feb-09","Delhi  Golf Club  - Blue",72.1,127,15.7,94,94,"19.5",NA,NA,"19.5","S279S"
"19","19*","28-Jan-09","24-Jan-09","Delhi  Golf Club  - Blue",72.1,127,15.7,90,90,"15.9",NA,NA,"15.9","S279S"
"20","20","12-Jan-09","07-Jan-09","Delhi  Golf Club  - Blue",72.1,127,15.7,93,93,"18.6",NA,NA,"18.6","S279S"
