"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","05-Aug-16","17-Feb-16","CHANDIGARH GOLF CLUB - GENTLEMEN",71.7,113,"+0.8",76,76,4.3,NA,NA,4.3,"S619"
"2","2*","05-Aug-16","12-Feb-16","CHANDIGARH GOLF CLUB - GENTLEMEN",71.7,113,"+0.5",69,69,-2.7,NA,NA,-2.7,"S619"
"3","3*","05-Aug-16","10-Feb-16","CHANDIGARH GOLF CLUB - GENTLEMEN",71.7,113,"+0.8",73,73,1.3,NA,NA,1.3,"S619"
"4","4","05-Aug-16","07-Feb-16","CHANDIGARH GOLF CLUB - GENTLEMEN",71.7,113,"+1.0",77,77,5.3,NA,NA,5.3,"S619"
"5","5*","05-Aug-16","06-Feb-16","CHANDIGARH GOLF CLUB - GENTLEMEN",71.7,113,"+1.0",74,74,2.3,NA,NA,2.3,"S619"
"6","6","05-Aug-16","04-Feb-16","CHANDIGARH GOLF CLUB - GENTLEMEN",71.7,113,"+1.3",78,78,6.3,NA,NA,6.3,"S619"
"7","7","05-Aug-16","24-Jan-16","CHANDIGARH GOLF CLUB - GENTLEMEN",71.7,113,"+1.3",78,78,6.3,NA,NA,6.3,"S619"
"8","8*","05-Aug-16","23-Jan-16","CHANDIGARH GOLF CLUB - GENTLEMEN",71.7,113,"+1.4",71,71,-0.7,NA,NA,-0.7,"S619"
"9","9","05-Aug-16","20-Jan-16","CHANDIGARH GOLF CLUB - GENTLEMEN",71.7,113,"+1.4",75,75,3.3,NA,NA,3.3,"S619"
"10","10","05-Aug-16","17-Jan-16","CHANDIGARH GOLF CLUB - GENTLEMEN",71.7,113,"+2.0",77,77,5.3,NA,NA,5.3,"S619"
"11","11*","05-Aug-16","16-Jan-16","CHANDIGARH GOLF CLUB - GENTLEMEN",71.7,113,"+1.3",70,70,-1.7,NA,NA,-1.7,"S619"
"12","12","05-Aug-16","14-Jan-16","CHANDIGARH GOLF CLUB - GENTLEMEN",71.7,113,"+2.2",75,75,3.3,NA,NA,3.3,"S619"
"13","13","05-Aug-16","13-Jan-16","CHANDIGARH GOLF CLUB - GENTLEMEN",71.7,113,"+2.2",77,77,5.3,NA,NA,5.3,"S619"
"14","14*","05-Aug-16","12-Jan-16","CHANDIGARH GOLF CLUB - GENTLEMEN",71.7,113,"+2.7",72,72,0.3,NA,NA,0.3,"S619"
"15","15","05-Aug-16","09-Jan-16","CHANDIGARH GOLF CLUB - GENTLEMEN",71.7,113,"+2.7",74,74,2.3,NA,NA,2.3,"S619"
"16","16*","05-Aug-16","08-Jan-16","CHANDIGARH GOLF CLUB - GENTLEMEN",71.7,113,"N/A",70,70,-1.7,NA,NA,-1.7,"S619"
"17","17*","05-Aug-16","06-Jan-16","CHANDIGARH GOLF CLUB - GENTLEMEN",71.7,113,"N/A",72,72,0.3,NA,NA,0.3,"S619"
"18","18","05-Aug-16","05-Jan-16","CHANDIGARH GOLF CLUB - GENTLEMEN",71.7,113,"N/A",79,79,7.3,NA,NA,7.3,"S619"
"19","19*","05-Aug-16","03-Jan-16","CHANDIGARH GOLF CLUB - GENTLEMEN",71.7,113,"N/A",69,69,-2.7,NA,NA,-2.7,"S619"
"20","20*","05-Aug-16","02-Jan-16","CHANDIGARH GOLF CLUB - GENTLEMEN",71.7,113,"N/A",72,72,0.3,NA,NA,0.3,"S619"
