"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1*","16-Aug-22","15-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,1.3,76,76,2.6,NA,NA,2.6,"SD1615"
"2","2","12-Aug-22","06-Aug-22","LODHI COURSE MEN NEW - BLUE",72.1,122,0.6,76,76,3.6,NA,NA,3.6,"SD1615"
"3","3*","12-Aug-22","06-Aug-22","LODHI COURSE MEN NEW - BLUE",72.1,122,0.6,72,72,-0.1,NA,NA,-0.1,"SD1615"
"4","4*","31-Jul-22","31-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,0.5,75,75,2.7,NA,NA,2.7,"SD1615"
"5","5*","19-Jul-22","17-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,0.5,75,74,1.8,NA,NA,1.8,"SD1615"
"6","6*","18-Aug-22","24-Jun-22","DLF GOLF   CTRY CLUB NEW - Blue",73.7,139,0.4,76,76,1.9,NA,NA,1.9,"SD1615"
"7","7","18-Aug-22","12-Jun-22","DLF GOLF   CTRY CLUB NEW - Blue",73.7,139,0.2,78,78,3.5,NA,NA,3.5,"SD1615"
"8","8","18-Aug-22","10-Jun-22","DLF GOLF   CTRY CLUB NEW - Blue",73.7,139,0.2,80,80,5.1,NA,NA,5.1,"SD1615"
"9","9*","18-Aug-22","18-May-22","DLF GOLF   CTRY CLUB NEW - Blue",73.7,139,0.2,76,76,1.9,NA,NA,1.9,"SD1615"
"10","10","18-Aug-22","09-May-22","DLF GOLF   CTRY CLUB NEW - Blue",73.7,139,0.2,79,79,4.3,NA,NA,4.3,"SD1615"
"11","11","18-Aug-22","29-Apr-22","DLF GOLF   CTRY CLUB NEW - Blue",73.7,139,0.2,85,85,9.2,NA,NA,9.2,"SD1615"
"12","12*","18-Aug-22","26-Apr-22","DLF GOLF   CTRY CLUB NEW - Blue",73.7,139,0,77,77,2.7,NA,NA,2.7,"SD1615"
"13","13","18-Aug-22","21-Apr-22","DLF GOLF   CTRY CLUB NEW - Blue",73.7,139,0,83,83,7.6,NA,NA,7.6,"SD1615"
"14","14","18-Aug-22","13-Apr-22","DLF GOLF   CTRY CLUB NEW - Blue",73.7,139,0,78,78,3.5,NA,NA,3.5,"SD1615"
"15","15","18-Aug-22","01-Apr-22","DLF GOLF   CTRY CLUB NEW - Blue",73.7,139,0,85,85,9.2,NA,NA,9.2,"SD1615"
"16","16*","18-Aug-22","17-Feb-22","DLF GOLF   CTRY CLUB NEW - Blue",73.7,139,0.1,76,76,1.9,NA,NA,1.9,"SD1615"
"17","17","18-Aug-22","11-Feb-22","DLF GOLF   CTRY CLUB NEW - Blue",73.7,139,0.1,80,80,5.1,NA,NA,5.1,"SD1615"
"18","18","18-Aug-22","23-Dec-21","DLF GOLF   CTRY CLUB NEW - Blue",73.7,139,0.1,80,80,5.1,NA,NA,5.1,"SD1615"
"19","19*","15-Feb-21","10-Feb-21","LODHI COURSE MEN NEW - BLUE",72.1,122,0,72,72,-0.1,NA,NA,-0.1,"SD1615"
"20","20*","09-Feb-21","03-Feb-21","LODHI COURSE MEN NEW - BLUE",72.1,122,0.2,72,72,-0.1,NA,NA,-0.1,"SD1615"
