"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","23-Dec-21","19-Dec-21","LODHI COURSE MEN NEW - BLUE",72.1,122,"5.9",82,82,9.2,NA,NA,9.2,"SL078"
"2","2","20-Dec-21","18-Dec-21","LODHI COURSE MEN NEW - BLUE",72.1,122,"5.9",83,83,10.1,NA,NA,10.1,"SL078"
"3","3","14-Dec-21","12-Dec-21","Delhi Golf Course Mens-12 - Blue",72.1,127,"5.4",85,85,11.5,NA,NA,11.5,"SL078"
"4","4*","14-Dec-21","11-Dec-21","Delhi Golf Course Mens-12 - Blue",72.1,127,"5.4",81,81,7.9,NA,NA,7.9,"SL078"
"5","5","02-Nov-16","01-Nov-16","Delhi Golf Course Mens-12 - Blue",72.1,127,"4.6",90,90,15.9,NA,NA,15.9,"SL078"
"6","6","01-Nov-16","30-Oct-16","Delhi Golf Course Mens-12 - Blue",72.1,127,"4.6",90,90,15.9,NA,NA,15.9,"SL078"
"7","7*","02-Nov-16","29-Oct-16","Delhi Golf Course Mens-12 - Blue",72.1,127,"3.9",79,79,6.1,NA,NA,6.1,"SL078"
"8","8","04-Jan-14","04-Jan-14","Delhi Golf Course Mens-12 - Blue",72.1,127,"3.9",84,84,10.6,NA,NA,10.6,"SL078"
"9","9","24-Aug-13","24-Aug-13","Delhi Golf Course Mens-12 - Blue",72.1,127,"3.5",84,84,10.6,NA,NA,10.6,"SL078"
"10","10*","16-Apr-13","16-Apr-13","Delhi Golf Course Mens-12 - Blue",72.1,127,"4.4",76,76,3.5,NA,NA,3.5,"SL078"
"11","11*","27-Nov-12","25-Nov-12","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",82,82,8.8,NA,NA,8.8,"SL078"
"12","12*","03-Oct-12","02-Oct-12","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",81,81,7.9,NA,NA,7.9,"SL078"
"13","13","17-Dec-11","17-Dec-11","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",94,94,19.5,NA,NA,19.5,"SL078"
"14","14*","28-Apr-11","28-Apr-11","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",77,77,4.4,NA,NA,4.4,"SL078"
"15","15","06-Aug-07","04-Aug-07","Delhi  Golf Club  - Blue",72.1,127,"N/A",82,82,8.8,NA,NA,8.8,"SL078"
