"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","01-Sep-22","28-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,13.1,97,95,"18.8T",NA,NA,"18.8T","SP1178"
"2","2*","27-Jul-22","23-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,13.4,88,88,"14.7T",NA,NA,"14.7T","SP1178"
"3","3","18-May-22","01-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,13.1,97,97,"23.1",NA,NA,"23.1","SP1178"
"4","4*","28-Apr-22","24-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,13.9,82,82,"9.2",NA,NA,"9.2","SP1178"
"5","5*","02-Apr-22","31-Mar-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14.2,88,88,"14.7",NA,NA,"14.7","SP1178"
"6","6","02-Apr-22","28-Mar-22","LODHI COURSE MEN NEW - BLUE",72.1,122,14.2,132,114,"38.8T",NA,NA,"38.8T","SP1178"
"7","7*","11-Mar-22","06-Mar-22","LODHI COURSE MEN NEW - WHITE",70.6,122,14.6,85,85,"13.3",NA,NA,"13.3","SP1178"
"8","8*","01-Mar-22","27-Feb-22","LODHI COURSE MEN NEW - WHITE",70.6,122,15.1,84,84,"12.4",NA,NA,"12.4","SP1178"
"9","9*","23-Feb-22","20-Feb-22","LODHI COURSE MEN NEW - WHITE",70.6,122,15.6,81,81,"9.6",NA,NA,"9.6","SP1178"
"10","10","15-Feb-22","13-Feb-22","LODHI COURSE MEN NEW - BLUE",72.1,122,15.6,95,95,"21.2",NA,NA,"21.2","SP1178"
"11","11*","10-Feb-22","05-Feb-22","LODHI COURSE MEN NEW - WHITE",70.6,122,15,87,87,"15.2",NA,NA,"15.2","SP1178"
"12","12*","31-Jan-22","30-Jan-22","LODHI COURSE MEN NEW - WHITE",70.6,122,15.4,86,86,"14.3",NA,NA,"14.3","SP1178"
"13","13","24-Jan-22","21-Jan-22","LODHI COURSE MEN NEW - WHITE",70.6,122,15.5,90,90,"18.0",NA,NA,"18.0","SP1178"
"14","14*","14-Jan-22","02-Jan-22","LODHI COURSE MEN NEW - WHITE",70.6,122,15.7,89,89,"17.0",NA,NA,"17.0","SP1178"
"15","15","14-Jan-22","31-Dec-21","LODHI COURSE MEN NEW - BLUE",72.1,122,15.4,95,95,"21.2T",NA,NA,"21.2T","SP1178"
"16","16*","09-Dec-21","05-Dec-21","LODHI COURSE MEN NEW - WHITE",70.6,122,15.4,83,83,"11.5",NA,NA,"11.5","SP1178"
"17","17","17-Nov-21","14-Nov-21","LODHI COURSE MEN NEW - WHITE",70.6,122,15,92,92,"19.8",NA,NA,"19.8","SP1178"
"18","18","27-Oct-21","26-Oct-21","LODHI COURSE MEN NEW - BLUE",72.1,122,15,102,96,"22.1T",NA,NA,"22.1T","SP1178"
"19","19","25-Aug-21","15-Aug-21","LODHI COURSE MEN NEW - BLUE",72.1,122,15,93,92,"18.4T",NA,NA,"18.4T","SP1178"
"20","20","29-Jul-21","24-Jul-21","LODHI COURSE MEN NEW - BLUE",72.1,122,14.9,113,103,"28.6T",NA,NA,"28.6T","SP1178"
