"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1*","15-Sep-22","10-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,7.8,83,83,"8.6",NA,NA,"8.6","T161"
"2","2*","07-Sep-22","03-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,8.1,81,81,"6.9",NA,NA,"6.9","T161"
"3","3","30-Aug-22","20-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,8.1,86,86,"11.1",NA,NA,"11.1","T161"
"4","4*","16-Aug-22","13-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,8.4,83,83,"8.6",NA,NA,"8.6","T161"
"5","5*","28-Jul-22","25-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.5,82,82,"9.2",NA,NA,"9.2","T161"
"6","6","19-Jul-22","16-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.5,86,86,"12.9",NA,NA,"12.9","T161"
"7","7*","12-Jul-22","09-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.8,80,80,"7.3",NA,NA,"7.3","T161"
"8","8*","01-Jul-22","25-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,9,80,80,"7.3T",NA,NA,"7.3T","T161"
"9","9","30-Jun-22","18-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.7,84,84,"11.0",NA,NA,"11.0","T161"
"10","10*","16-Jun-22","11-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.8,81,81,"8.2",NA,NA,"8.2","T161"
"11","11","11-Jun-22","09-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.5,89,89,"15.7",NA,NA,"15.7","T161"
"12","12*","10-Jun-22","04-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.7,81,81,"8.2",NA,NA,"8.2","T161"
"13","13","10-Jun-22","02-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.1,84,84,"11.0",NA,NA,"11.0","T161"
"14","14*","31-May-22","28-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.6,79,79,"6.4T",NA,NA,"6.4T","T161"
"15","15","30-May-22","27-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.3,87,86,"12.9",NA,NA,"12.9","T161"
"16","16*","18-May-22","03-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.6,81,81,"8.2",NA,NA,"8.2","T161"
"17","17","22-Apr-22","16-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.6,83,83,"10.1T",NA,NA,"10.1T","T161"
"18","18","25-Apr-22","15-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.5,87,87,"13.8",NA,NA,"13.8","T161"
"19","19","11-Apr-22","07-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.4,87,87,"13.8",NA,NA,"13.8","T161"
"20","20","13-Apr-22","05-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.4,87,87,"13.8",NA,NA,"13.8","T161"
