"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","20-Sep-22","16-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,6.8,126,99,"22.2T",NA,NA,"22.2T","TC596"
"2","2*","07-Sep-22","04-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,6.7,82,82,"7.7",NA,NA,"7.7","TC596"
"3","3*","19-Jul-22","16-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,6.8,81,81,"8.2",NA,NA,"8.2","TC596"
"4","4*","21-Jan-22","19-Jan-22","LODHI COURSE MEN NEW - BLUE",72.1,122,7.2,79,79,"6.4",NA,NA,"6.4","TC596"
"5","5*","18-Jan-22","14-Jan-22","LODHI COURSE MEN NEW - BLUE",72.1,122,7.6,78,78,"5.5",NA,NA,"5.5","TC596"
"6","6*","17-Jan-22","12-Jan-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.1,78,78,"5.5",NA,NA,"5.5","TC596"
"7","7*","18-Jan-22","07-Jan-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.3,81,81,"8.2",NA,NA,"8.2","TC596"
"8","8","14-Jan-22","02-Jan-22","LODHI COURSE MEN NEW - BLUE",72.1,122,7.9,85,85,"11.9T",NA,NA,"11.9T","TC596"
"9","9*","09-Dec-21","05-Dec-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.1,80,80,"7.3",NA,NA,"7.3","TC596"
"10","10*","23-Nov-21","19-Nov-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.5,79,79,"6.4",NA,NA,"6.4","TC596"
"11","11","03-Nov-21","29-Oct-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.5,88,87,"13.8T",NA,NA,"13.8T","TC596"
"12","12","03-Nov-21","24-Oct-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.5,91,83,"10.1T",NA,NA,"10.1T","TC596"
"13","13","02-Nov-21","22-Oct-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.5,90,88,"14.7T",NA,NA,"14.7T","TC596"
"14","14","03-Nov-21","17-Oct-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.5,83,83,"10.1T",NA,NA,"10.1T","TC596"
"15","15","03-Oct-21","25-Sep-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.5,84,84,"11.0T",NA,NA,"11.0T","TC596"
"16","16*","10-Sep-21","04-Sep-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.8,79,79,"6.4",NA,NA,"6.4","TC596"
"17","17","27-Aug-21","14-Aug-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.7,85,83,"10.1T",NA,NA,"10.1T","TC596"
"18","18","24-Aug-21","14-Aug-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.5,89,89,"15.7T",NA,NA,"15.7T","TC596"
"19","19","14-Apr-21","07-Apr-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.4,82,82,"9.2",NA,NA,"9.2","TC596"
"20","20*","14-Apr-21","31-Mar-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.7,79,79,"6.4",NA,NA,"6.4","TC596"
