"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","22-Sep-08","19-Sep-08","Delhi  Golf Club  - Blue",72.1,127,"13.2",90,90,15.9,NA,NA,15.9,"V137"
"2","2*","19-Jul-08","18-Jul-08","Delhi  Golf Club  - Blue",72.1,127,"13.0",88,88,14.1,NA,NA,14.1,"V137"
"3","3*","16-Jul-08","13-Jul-08","Delhi  Golf Club  - Blue",72.1,127,"13.2",87,87,13.3,NA,NA,13.3,"V137"
"4","4","15-Jul-08","11-Jul-08","Delhi  Golf Club  - Blue",72.1,127,"12.8",88,88,14.1,NA,NA,14.1,"V137"
"5","5","04-Jul-08","01-Jul-08","Delhi  Golf Club  - Blue",72.1,127,"12.8",90,90,15.9,NA,NA,15.9,"V137"
"6","6","22-Jun-07","21-Jun-07","Delhi  Golf Club  - Blue",72.1,127,"12.4",93,93,18.6,NA,NA,18.6,"V137"
"7","7*","04-May-07","03-May-07","Delhi  Golf Club  - Blue",72.1,127,"12.4",87,87,13.3,NA,NA,13.3,"V137"
"8","8","18-Apr-07","17-Apr-07","Delhi  Golf Club  - Blue",72.1,127,"N/A",100,100,24.8,NA,NA,24.8,"V137"
"9","9","20-Jan-07","19-Jan-07","Delhi  Golf Club  - Blue",72.1,127,"N/A",100,100,24.8,NA,NA,24.8,"V137"
"10","10","28-Dec-05","14-Dec-05","Delhi  Golf Club  - Blue",72.1,127,"N/A",88,88,14.1,NA,NA,14.1,"V137"
"11","11","26-Dec-05","04-Dec-05","Delhi  Golf Club  - Blue",72.1,127,"N/A",90,90,15.9,NA,NA,15.9,"V137"
"12","12*","25-Dec-05","02-Dec-05","Delhi  Golf Club  - Blue",72.1,127,"N/A",86,86,12.4,NA,NA,12.4,"V137"
