"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","31-Mar-21","28-Mar-21","LODHI COURSE MEN NEW - BLUE",72.1,122,15.5,100,100,"25.8",NA,NA,"25.8","W073"
"2","2","31-Mar-21","27-Mar-21","LODHI COURSE MEN NEW - BLUE",72.1,122,15.3,100,100,"25.8",NA,NA,"25.8","W073"
"3","3","31-Mar-21","21-Mar-21","LODHI COURSE MEN NEW - BLUE",72.1,122,15.3,99,99,"24.9",NA,NA,"24.9","W073"
"4","4","31-Mar-21","20-Mar-21","LODHI COURSE MEN NEW - BLUE",72.1,122,15.3,98,98,"24.0",NA,NA,"24.0","W073"
"5","5*","01-Apr-21","19-Mar-21","LODHI COURSE MEN NEW - BLUE",72.1,122,15.3,92,92,"18.4",NA,NA,"18.4","W073"
"6","6","31-Mar-21","14-Mar-21","LODHI COURSE MEN NEW - BLUE",72.1,122,15.3,106,106,"31.4",NA,NA,"31.4","W073"
"7","7","31-Mar-21","13-Mar-21","LODHI COURSE MEN NEW - BLUE",72.1,122,15.3,98,98,"24.0",NA,NA,"24.0","W073"
"8","8*","01-Apr-21","11-Mar-21","LODHI COURSE MEN NEW - BLUE",72.1,122,15.3,92,92,"18.4",NA,NA,"18.4","W073"
"9","9","31-Mar-21","07-Mar-21","LODHI COURSE MEN NEW - BLUE",72.1,122,15.3,99,99,"24.9",NA,NA,"24.9","W073"
"10","10","31-Mar-21","06-Mar-21","LODHI COURSE MEN NEW - BLUE",72.1,122,15.3,106,106,"31.4",NA,NA,"31.4","W073"
"11","11","09-Mar-21","27-Feb-21","LODHI COURSE MEN NEW - WHITE",70.6,122,15.3,125,107,"33.7T",NA,NA,"33.7T","W073"
"12","12*","02-Mar-21","21-Feb-21","LODHI COURSE MEN NEW - BLUE",72.1,122,15.3,92,92,"18.4",NA,NA,"18.4","W073"
"13","13*","02-Mar-21","14-Feb-21","LODHI COURSE MEN NEW - BLUE",72.1,122,15.3,95,95,"21.2",NA,NA,"21.2","W073"
"14","14","02-Mar-21","07-Feb-21","LODHI COURSE MEN NEW - BLUE",72.1,122,15.3,96,96,"22.1",NA,NA,"22.1","W073"
"15","15*","18-Jan-21","17-Jan-21","LODHI COURSE MEN NEW - BLUE",72.1,122,15.5,90,90,"16.6",NA,NA,"16.6","W073"
"16","16*","01-Jan-21","27-Dec-20","LODHI COURSE MEN NEW - BLUE",72.1,122,16.1,86,86,"12.9",NA,NA,"12.9","W073"
"17","17*","01-Jan-21","26-Dec-20","LODHI COURSE MEN NEW - BLUE",72.1,122,16.7,86,86,"12.9",NA,NA,"12.9","W073"
"18","18*","01-Jan-21","20-Dec-20","LODHI COURSE MEN NEW - BLUE",72.1,122,17.2,88,88,"14.7T",NA,NA,"14.7T","W073"
"19","19*","01-Jan-21","13-Dec-20","LODHI COURSE MEN NEW - BLUE",72.1,122,17.7,88,88,"14.7",NA,NA,"14.7","W073"
"20","20*","01-Jan-21","12-Dec-20","LODHI COURSE MEN NEW - BLUE",72.1,122,18,89,89,"15.7",NA,NA,"15.7","W073"
